Modality,Operator,PSNR,FOM
mri,LoG,21.898694220592546,0.693086238785303
mri,Roberts,22.92350267615705,0.7245110634846217
mri,Frei-Chen,22.91754557962602,0.7585654193660707
mri,Sobel,22.551591352676237,0.824982397136006
mri,Prewitt,22.49467149360134,0.8321568598441528
mri,Kirsch,22.54312619313779,0.8390449925086327
mri,LoG,21.527799324652097,0.7600064177765
mri,Roberts,22.49527968871291,0.7989978984269431
mri,Frei-Chen,22.52176625003177,0.82900393844305
mri,Sobel,22.55023092234637,0.82434916489817
mri,Prewitt,22.54374955463526,0.830630351329651
mri,Kirsch,22.5374985574923,0.837528867849034
mri,LoG,21.541427801392615,0.757762310807237
mri,Roberts,22.485073035175596,0.7985609508533981
mri,Frei-Chen,22.546379218116137,0.8277624099605108
mri,Sobel,23.867949288714954,0.6991542095172091
mri,Prewitt,23.843640705973222,0.7079949390724825
mri,Kirsch,23.70328900526834,0.7172816212308426
mri,LoG,22.71544792847414,0.6551700150582106
mri,Roberts,23.63441020252686,0.669151517439444
mri,Frei-Chen,23.85548609346975,0.7037847529454235
mri,Sobel,23.099899743912445,0.7139008919975408
mri,Prewitt,23.15232111459543,0.7231960667793035
mri,Kirsch,23.029893977839517,0.7321177051117618
mri,LoG,21.995900516807442,0.6617453700386783
mri,Roberts,22.937198799552423,0.681866286459753
mri,Frei-Chen,23.126870787641188,0.7188710509763307
mri,Sobel,22.456768356921625,0.7087614791819411
mri,Prewitt,22.460255416280788,0.7183217691740916
mri,Kirsch,22.483964738341335,0.7288992001286223
mri,LoG,21.60743450625965,0.654889918443562
mri,Roberts,22.53938787415375,0.6797533185366732
mri,Frei-Chen,22.457766459451655,0.7127024894098258
mri,Sobel,22.618280113801386,0.6960128235756501
mri,Prewitt,22.5981590520747,0.7086223147090874
mri,Kirsch,22.56460290186748,0.713058867976964
mri,LoG,21.66062366993494,0.653279377289204
mri,Roberts,22.47923531050585,0.6642653185001579
mri,Frei-Chen,22.60727368683325,0.7032232938621084
mri,Sobel,14.094386902869156,0.9337926298507042
mri,Prewitt,14.084815091719651,0.932708993195331
mri,Kirsch,14.08701688919127,0.9333398792338925
mri,LoG,14.090761140186396,0.8165315250212882
mri,Roberts,14.085040381357137,0.9277510344965326
mri,Frei-Chen,14.08824178034861,0.933167578815269
mri,Sobel,14.433369020871254,0.9339919301338455
mri,Prewitt,14.446128536941067,0.9329655041096339
mri,Kirsch,14.433842771860569,0.9332546954346498
mri,LoG,14.439267777465744,0.8134314081176477
mri,Roberts,14.455619322087758,0.9272471391794401
mri,Frei-Chen,14.438864124568555,0.9333994223840207
mri,Sobel,12.2975389246389,0.9512079314164197
mri,Prewitt,12.278549856287936,0.9501798720884731
mri,Kirsch,12.271855340925535,0.9487751701573559
